,会社名,タイトル,初年度年収,掲載終了予定日
258,AIG損害保険株式会社 | 自己裁量が魅力！自分の営業スキル・センスを活かしたい方歓迎！,【代理店の新規開拓営業】◎月給34万円以上◎年間休日120日以上 契約社員,500万円～550万円,掲載終了予定日： 2021/07/29
259,光和電設株式会社 | 100%直請け★アパホテルやドン・キホーテ、コメリなどの実績多数,"技術よりも""温かい心""を持った方を採用します！【 電気工事士 】 正社員",,掲載終了予定日： 2021/07/29
260,株式会社ライトハウス | オフィス・店舗物件を扱う不動産会社 ☆土日祝休み＆年休120日,未経験大歓迎！【不動産営業】★スタートアップメンバー募集★ 正社員,,掲載終了予定日： 2021/08/12
261,あっとホームサービス株式会社 | 『張替本舗 金沢屋』FC店舗の立ち上げをあなたの手で！,オープニング募集！未経験から目指せる【店長候補】サポート万全 正社員,,掲載終了予定日： 2021/08/30
262,大東建託株式会社 | ■三重で[ 東証一部上場企業 ] の一員として活躍！■年休125日,＼何歳からでもスタートできる／【 営業 】＊三重募集＊ 正社員,350万円～1000万円,掲載終了予定日： 2021/08/30
263,株式会社浜寺ガスセンター | 【大阪府緊急雇用対策に賛同】年収800万円も目指せる/既婚率70％,【総合職(営業/メンテナンス)】※残業少なく・賞与平均4ヶ月に 正社員,,掲載終了予定日： 2021/08/09
264,株式会社HI-LINE | 【条件に合う方全員面接】家族手当充実！賞与昨年度実績3ヶ月分,配送業務未経験でも全然OK！【ルート配送 2t】※AT限定免許でOK 正社員,350万円～450万円,掲載終了予定日： 2021/07/26
265,昭和プラント株式会社 | ■残業月平均10時間以内 ■転勤なし ■未経験スタート大歓迎,技術者ファーストな好環境で働ける♪【電気工事スタッフ】 正社員,,掲載終了予定日： 2021/08/30
266,株式会社未来図建設 | 【 創業119年の老舗安定企業 】■月給30万円以上 ■19時完全退社,建設に関わる企画をイチから提案できる【 営業 】■転勤なし 正社員,360万円～800万円,掲載終了予定日： 2021/09/06
267,株式会社エーシーネクスト | ☆転勤なし☆研修も充実♪ ☆異業種出身者も活躍中！,★スタートアップ募集【住宅塗装の営業】賞与年4回/テレアポなし 正社員,350万円～500万円,掲載終了予定日： 2021/08/30
268,株式会社丸八ダイレクト | ◆名証二部上場「丸八グループ」◆WEB面接可◆報奨金・賞与年2回,【販売スタッフ】未経験でも月30万～可★嬉しい社宅有★学歴不問 正社員,,掲載終了予定日： 2021/08/30
269,和光設計工事株式会社 | #大阪府緊急雇用対策に賛同 #充実の福利厚生、整った労務環境,残業ほとんどなし!完全週休2日制で働く【施工管理】※未経験歓迎 正社員,,掲載終了予定日： 2021/08/30
270,セキュリティ＆インテリジェンス株式会社 | 業界内知名度抜群の親会社から生まれたベンチャー ★年休120日超,防犯カメラ・AIシステム等を提案する【企画営業】★月給30万円～ 正社員,400万円～700万円,掲載終了予定日： 2021/08/09
271,株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",,掲載終了予定日： 2021/07/26
272,株式会社マイナビM＆A | マイナビグループの精鋭が集結し今年4月設立した社内ベンチャー,【M＆Aコンサルタント】★事業の立ち上げフェーズの募集 正社員,446万円～501万円,掲載終了予定日： 2021/08/09
273,フジミハウジング株式会社 | ★TV番組などメディア出演多数★連休取得OK・退職金制度有！,売買・仲介の【不動産営業】☆管理物件数約7000戸で安定基盤！ 正社員,400万円～1000万円,掲載終了予定日： 2021/07/22
274,株式会社グロリアース | 《 福岡本社（福岡市）積極採用中 》幅広い年齢層が活躍中です★,40代の新人も活躍中【営業】年齢・経験一切不問／未経験者歓迎 正社員,,掲載終了予定日： 2021/08/26
275,水野精密工業株式会社 | 社宅制度+入居時の会社援助あり！遠方からの応募も歓迎◎,未来で活躍する試作部品の【 製造スタッフ 】＊20～40代活躍中＊ 正社員,300万円～500万円,掲載終了予定日： 2021/08/05
276,株式会社アサックス | 【東証一部上場】★残業少★土日祝休み★20代で年収700万円も可,あなたが中小企業の救世主に！【提案営業】★未経験歓迎 正社員,400万円～600万円,掲載終了予定日： 2021/08/05
277,消火栓標識株式会社,消火栓標識の【管理スタッフ】★20代～幅広い年齢層が活躍中！ 正社員,300万円～400万円,掲載終了予定日： 2021/08/26
278,溝江建設株式会社 | 【 みぞえグループ 】■月給30万円以上 ■資格取得支援あり,福岡の街に、歴史に残る仕事を手がける【建築施工管理】転勤なし 正社員,,掲載終了予定日： 2021/08/26
279,株式会社ファーストエージェント | 新しい働き方×納得のいく報酬を実現！1年目で年収1000万円可能,スタートアップメンバー募集！【不動産エージェント】副業OK 業務委託,400万円～2000万円,掲載終了予定日： 2021/08/26
280,株式会社アイダ設計 | 【設立40年・優良ハウスメーカー】経験者も納得のメリット多数！,<経験者採用>完全反響型★業界屈指のブランド力が魅力の【営業】 正社員,600万円～800万円,掲載終了予定日： 2021/07/22
281,株式会社データワンテクノロジー | 【業績好調】★現在待機ゼロの安定性★残業月平均10～20ｈ,【ITエンジニア】★新価値創造に挑戦★育成環境安心★定着率90％ 正社員,300万円～1000万円,掲載終了予定日： 2021/09/23
282,日交練馬株式会社 | 90年以上の歴史を持つ業界最大級の日本交通グループ,【タクシードライバー】年収500万円以上可！休日休暇も充実♪ 正社員,360万円～600万円,掲載終了予定日： 2021/08/05
283,株式会社キャリアサービス | 【年休125日以上】【産休育休実績あり】★20代・30代活躍中！,未経験月給35万保証!実現可能な理由は?【人材コーディネーター】 正社員,500万円～1000万円,掲載終了予定日： 2021/08/05
284,HULK建設株式会社 | あなたの成果をしっかり評価！業界高水準の給与をご用意します。,経験者たちが太鼓判を押す、働きがいと好待遇。【土木施工管理】 正社員,400万円～1000万円,掲載終了予定日： 2021/08/05
285,株式会社よかタウン | 【東証一部上場のグループ企業】◇年収600万円以上も実現可能！,九州No1を目指す企業で活躍！【 営業 】★年間休日115日 正社員,,掲載終了予定日： 2021/08/05
286,株式会社Neo | （リサイクル事業）,【営業】6月設立◆直行直帰＆完全反響型！月収50万円以上可 正社員,360万円～600万円,掲載終了予定日： 2021/08/26
287,株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,,掲載終了予定日： 2021/07/19
288,株式会社シンミテクノ | ★20名採用プロジェクト始動！【大阪府緊急雇用対策に賛同】,世界シェアダイキンの技術部隊！【点検・メンテナンススタッフ】 正社員,,掲載終了予定日： 2021/08/23
289,UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループ】,【半導体製造装置のフィールドエンジニア】※製造経験者限定 正社員,400万円～500万円,掲載終了予定日： 2021/07/19
290,ネイビーエステート株式会社 | ★社長の人柄に惹かれ業界のトップクラスのセールスマンが活躍中,"【不動産営業】★未経験者でも年収1,000万円可！★水日祝休み 正社員",400万円～1500万円,掲載終了予定日： 2021/08/02
291,株式会社ワークプレイスソリューションズ | 米国最大級のオフィス家具メーカー正規代理店◆昨年度賞与4ヶ月,【企画営業】管理職候補◆成果反映型のコミッションボーナスあり 正社員,400万円～600万円,掲載終了予定日： 2021/08/23
292,株式会社ヨドバシカメラ | 業界異例の正社員比率96.4% ★福利厚生も大手ならでは！,ヨドバシを縁の下で支える【物流総合職】★第二新卒・未経験歓迎 正社員,300万円～500万円,掲載終了予定日： 2021/07/19
293,株式会社日野店舗建築 | 設計・施工・製造をワンストップで手がける安定企業／未経験OK！,最先端の内装デザインを提供する【営業職】★フレックスタイム制 正社員,400万円～700万円,掲載終了予定日： 2021/07/19
294,株式会社ワークプレイスソリューションズ | 米国最大級のオフィス家具メーカー正規代理店◆海外出張あり,【ディレクター（インテリア・空間デザイン）】◆管理職候補 正社員,400万円～600万円,掲載終了予定日： 2021/08/23
295,株式会社窪治組 | ほぼ残業なし★社員寮完備★週休2日★実働7.5時間★各種手当充実,未経験OK！【現場サポートスタッフ(現場監督候補)】★面接1回 正社員,300万円～550万円,掲載終了予定日： 2021/08/23
296,UTエイム株式会社 | 【東証一部上場グループ】3か月で163万円以上の貯金も可能！,入社祝金50万円×社宅無料！【組立・検査スタッフ】※浜松限定 正社員,400万円～600万円,掲載終了予定日： 2021/07/15
297,UTコミュニティ株式会社 | <東証一部上場グループ>年休128日★寮費無料エリア有★WEB面接OK,カンタン作業が中心【工場内スタッフ】未経験で月収30万円以上可 正社員,,掲載終了予定日： 2021/07/29
298,株式会社エスエスディー | ラウンドモーター #年間休日115日 #残業は月10～20時間程度,輸入中古車の【販売営業スタッフ】※高収入が目指せる環境！ 正社員,,掲載終了予定日： 2021/07/29
299,広島建設株式会社 | ～千葉に根差して50年の安定基盤があります～★WEB面接実施中★,◎転勤なし◎分譲住宅・注文住宅の【提案営業】※100％反響型 正社員,250万円～500万円,掲載終了予定日： 2021/07/15
300,株式会社インターレイズ | ◆大阪府緊急雇用対策に賛同／未経験OK／学歴不問／全員面接可,全身脱毛無料の美容特典あり！就職したい脱毛サロンNo.1【受付】 正社員,280万円～350万円,掲載終了予定日： 2021/08/12
301,スカイジャパン株式会社 | 平均年齢35歳｜転勤ナシ｜幹部候補｜在宅勤務OK｜WEB面接対応◎,※複数名＆群馬積極募集※【提案営業】未経験でも月給30万以上！ 正社員,400万円～600万円,掲載終了予定日： 2021/07/29
302,株式会社九州エネコ | 年休120日以上/完休2日制/転勤なし/社員寮あり/平均月収70万円,"『年収1,000万円』は通過点。【エコプランナー】※学歴一切不問 正社員",400万円～750万円,掲載終了予定日： 2021/07/29
303,株式会社日本住宅販売 | 【大阪府緊急雇用対策に賛同】★増員募集★人物重視の採用です！,未経験歓迎！既存のお客様への【営業スタッフ】週休2日/転勤なし 正社員,400万円～600万円,掲載終了予定日： 2021/07/29
304,ＬＵＣＩＯＮ＆Ｃｏｍｐａｎｙ株式会社 | 大阪府緊急雇用対策に賛同/年収600万円以上/年収600以上も可能！,100億円企業を目指す急成長ベンチャー【エコ商材の提案営業】 正社員,780万円～3000万円,掲載終了予定日： 2021/07/29
305,昭和ルーフリモ株式会社 | 【★リモートワーク推進★18～19時には退社 ★社用車通勤OK】,定着率の高さが自慢【やね工事のルート管理スタッフ】★未経験OK 正社員,350万円～700万円,掲載終了予定日： 2021/07/26
306,株式会社エーシーネクスト | 賞与年4回支給／完全週休二日制(日・月)／転勤なし,テレアポ＆飛込みなし！自然エネルギー事業に携わる【営業】 正社員,350万円～500万円,掲載終了予定日： 2021/08/05
307,株式会社LTCパートナーズ | 事業部長候補／年間休日125日以上／残業ほぼなし／学歴不問,【賃貸管理】経験者優遇★月給30万円～＋賞与★完全週休2日制 正社員,420万円～532万円,掲載終了予定日： 2021/07/22
308,有限会社チャンス | 《千葉エリア中心の中古車販売店》ノルマなし／100%反響型,＼未経験大歓迎／売りやすさバツグン【カーライフアドバイザー】 正社員,300万円～500万円,掲載終了予定日： 2021/08/05
309,株式会社TERASS | 年収2000万も可能/仲介手数料の75％が年収/出社義務無し/副業OK!,フルリモート!面接1回【不動産売買仲介エージェント】※学歴不問 業務委託,100万円～2000万円,掲載終了予定日： 2021/08/02
310,株式会社メディア工房 | 東証マザーズ上場★Web占いコンテンツで業界トップクラスの実績,【女性向けコンテンツ企画スタッフ】未経験から月給28万スタート 正社員,300万円～500万円,掲載終了予定日： 2021/08/02
311,税理士法人松本 | 業績好調&安定基盤◆渋谷オフィス開設!オープニングスタッフ募集,【税務会計スタッフ】★未経験大歓迎　意欲的な仲間と成長を！ 正社員,300万円～1500万円,掲載終了予定日： 2021/07/26
312,株式会社オープンハウス | 20代の管理職率76％◆年4回昇給&昇格のチャンス有,<福岡勤務限定！>東証一部上場企業の【不動産営業】★未経験歓迎 正社員,390万円～1000万円,掲載終了予定日： 2021/08/02
313,株式会社トップファースト | 2021年2月設立！完全週休二日制！3年勤続で1ヶ月間の有給休暇有,"【不動産営業】未経験歓迎/初年度年収1,000万円以上可能！ 正社員",700万円～1000万円,掲載終了予定日： 2021/07/12
314,nmsエンジニアリング株式会社 | 上場企業『nmsホールディングス』のグループ会社！,【モノづくりエンジニア】機械設計／電気・電子設計／生産技術 正社員,350万円～700万円,掲載終了予定日： 2021/07/22
315,株式会社クレス不動産 | 反響営業だから、未経験でもムリなく稼げる＊,《20～30代中心に活躍中！完休2日》新築住宅の【不動産営業】 正社員,400万円～1000万円,掲載終了予定日： 2021/08/26
316,株式会社エス・エル・エス福岡 | 総合レジャーサービスグループ(九州全県、広島県に35店舗展開),未経験OK【経営戦略・企画】店舗開発や経営まで幅広く経験できる 正社員,600万円～800万円,掲載終了予定日： 2021/07/22
317,株式会社フジメタル | 業界トップクラスシェア／川崎勤務／土日完全休,未経験も歓迎【金属加工スタッフ】年収700万円以上も目指せる！ 正社員,350万円～750万円,掲載終了予定日： 2021/07/22
318,赤門ウイレックス株式会社 | ◎若手限定募集 ◎5年前比120%成長 ◎未経験でも月給23万円～,《東京採用》【施工ディレクター】★未経験OK ★35歳以下対象 正社員,300万円～450万円,掲載終了予定日： 2021/07/22
319,株式会社シンヨー運輸 | 不況知らず・売上好調の食品輸送！全額会社負担で免許取得を支援,未経験OK【ルート配送】◎入社半年で月収40万円も可能 正社員,350万円～500万円,掲載終了予定日： 2021/07/22
320,アップワン株式会社 | 【IT × 課題解決】コロナ禍でも成長を続けるベンチャー企業,【営業アシスタント】100％内勤／高収入／月給25万円＋インセン 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
321,株式会社エス・ビルド | 《大手企業との取引多数！》昨対比売上110％UP／年間休日121日,将来的は年収1000万円以上も可能！空間づくりを提案する【営業】 正社員,300万円～420万円,掲載終了予定日： 2021/08/26
322,"株式会社クリーク | CREEK CO.,LTD.／世田谷勤務／コロナ禍も安定の黒字経営",【不動産仕入営業】収入は青天井！完全週休2日で無駄な残業なし 正社員,300万円～1000万円,掲載終了予定日： 2021/07/22
323,東洋運輸株式会社 | ＼ 安定性バツグン！ ／ ”大手企業専属”の定期輸送です！,【 3ｔドライバー】★未経験OK！3ｔで高収入（月給32万円～） 正社員,,掲載終了予定日： 2021/07/22
324,nmsエンジニアリング株式会社 | 上場企業『nmsホールディングス』のグループ会社！,【インフラエンジニア】年間休日126日、フルリモート案件あり 正社員,350万円～700万円,掲載終了予定日： 2021/07/22
325,ウィンクルム株式会社 | 【大阪府緊急雇用対策に賛同】※土日休み／月給25万円以上,未経験OK♪スマホ決済サービスの【提案営業】年間休日120日以上 正社員,,掲載終了予定日： 2021/07/22
326,株式会社サンゲル | 注目を集めるエコ商材を扱うスタートアップ企業｜残業少なめ,未経験から年収1000万超も可能【営業】★週休3日制で働きやすい 正社員,400万円～600万円,掲載終了予定日： 2021/07/22
327,nmsエンジニアリング株式会社 | 上場企業『nmsホールディングス』のグループ会社！,【SE・PG】上流工程多数！年休126日、フルリモート案件あり 正社員,350万円～700万円,掲載終了予定日： 2021/07/22
328,株式会社サンワテクノス | ◎業界トップクラスの安定性！◎賞与3ヶ月分 ◎各種手当も充実,＼未経験歓迎！／【リサイクルスタッフ】工場内でのシンプル作業 正社員,330万円～400万円,掲載終了予定日： 2021/07/22
329,赤門ウイレックス株式会社 | ◎賞与年4回　◎年休124日　◎5年前比120%成長,《東京採用》【環境コーディネーター】★未経験OK・35歳以下対象 正社員,300万円～500万円,掲載終了予定日： 2021/07/22
330,株式会社鈴鹿英数学院 | 【★転勤なし★　週休2日制｜モデル年収30歳600万円】,未経験OK★【総合職(教務・教室運営等)】子どもが好き！が活きる 正社員,,掲載終了予定日： 2021/07/22
331,株式会社フィールドリンク | 即日入社OK/完全週休二日制/年休日120日/直行直帰OK(社用車貸与),【提案営業】◎入社1年目で年収700万円も！ずっと仙台で働ける！ 正社員,400万円～700万円,掲載終了予定日： 2021/07/22
332,株式会社ケニーモバイル | ★関内・横須賀で地域密着★正社員デビュー歓迎★ネイルOK,未経験OK！【受付・販売スタッフ】★年間休日120日 ★面接1回 正社員,300万円～450万円,掲載終了予定日： 2021/07/19
333,株式会社日商エステム | 【グループ売上600億以上のデベロッパー】★産育休取得実績あり,【マーケティング職】★9日の大型休暇×2回　★不動産経験者優遇 正社員,450万円～600万円,掲載終了予定日： 2021/07/19
334,コムズ株式会社 | 未経験でも月給25万円スタート★土日祝休/年休120日以上★,【広告運用サポート】経験者優遇★成長×高収入を叶える会社★ 正社員,300万円～450万円,掲載終了予定日： 2021/07/19
335,株式会社フィード | アパレルや美容業界、飲食店など異業種からの転職成功者多数！,【ライフプランアドバイザー】平均年齢24歳！マンション社宅付！ 正社員,300万円～1000万円,掲載終了予定日： 2021/07/19
336,株式会社CREAX | 「買取専門店 kaitori-off」設立から6期連続増収中の成長企業！,【査定スタッフ/バイヤー】未経験から1年目で30万円以上も可能 正社員,310万円～450万円,掲載終了予定日： 2021/07/19
337,株式会社つばさメディカルグループ | ■札幌でトップクラスの実績 ■社会貢献性の高い事業で急成長中,【コーディネート営業】残業ほぼナシ・転勤なし 正社員,450万円～700万円,掲載終了予定日： 2021/07/19
338,株式会社ひまわりほーむ | ＼CMでお馴染み／　残業月平均15時間&手当など福利厚生も充実◎,【総合職（経理・営業）】★仕事とプライベートを両立できる！ 正社員,,掲載終了予定日： 2021/07/19
339,株式会社ファースト | 【不況知らずのカスタムカー専門店】＊平均年収600万円以上！,＊未経験大歓迎！残業ほぼなし・転勤なし【カーアドバイザー】 正社員,450万円～650万円,掲載終了予定日： 2021/07/19
340,アイアール株式会社 | #大阪府緊急雇用対策に賛同#選べる勤務地#土日祝休み#WEB面接可,コロナ禍でも業績好調!年収120万UPも可【施工管理アシスタント】 正社員,350万円～960万円,掲載終了予定日： 2021/07/29
341,株式会社CRUD nop | ECサイト/動画配信/ゲーム等のWebシステムを手掛ける成長企業,"次は""したいこと""重視でいこう【ITエンジニア】★前給保障！ 正社員",350万円～900万円,掲載終了予定日： 2021/07/15
342,佐藤建業株式会社 | 今年で創立61周年！杉並区・都内の地域に密着した工事事業を展開,【施工管理】官公庁・自治体からの依頼多数◎安定環境で成長！ 正社員,350万円～800万円,掲載終了予定日： 2021/07/15
343,株式会社novis | 【 高収入も目指せる転職先 】年休123日／賞与年2回＋決算賞与,若手育成採用！省エネ商材の専門商社【提案営業】◎土日祝休み！ 正社員,,掲載終了予定日： 2021/07/12
344,リタ・マークス株式会社 | 【大阪府緊急雇用対策に賛同】大阪・東京に4店舗を展開！,アミューズメント施設の【店舗運営・企画プロデュース】 正社員,,掲載終了予定日： 2021/07/12
345,日本ビズアップ株式会社 | クラウド会計システムで企業経営をサポート/完全週休2日(土日),自社サービスの【営業】月給35万円～＋高額インセンティブ 正社員,400万円～800万円,掲載終了予定日： 2021/07/26
346,丸伊運輸株式会社 | 杉戸営業所 -老舗企業-資格支援制度・賞与など多数待遇あり◎,【ルート配送】転勤なし◎未経験でも月給28万円スタート★ 正社員,350万円～420万円,掲載終了予定日： 2021/07/12
347,株式会社CREA HOME | 設立より3期連続で増収増益｜ゆくゆくは年収600万円以上も可能,デザイン性の高いリノベーションを行う【プランナー】※未経験OK 正社員,350万円～900万円,掲載終了予定日： 2021/07/29
348,株式会社アドヴァンス | 【 2021年6月26日(土) マイナビ転職フェア熊本に出展します 】,★未経験OK 【ペインター】賞与年2回 ＋ 期末手当 ／ 退職金あり 正社員,350万円～450万円,掲載終了予定日： 2021/07/29
349,有限会社アイユーホーム | ボーナスは最大年3回支給 ／ 産休育休制度 ／ 残業は1日1h程度,【 賃貸カウンター 】20～30代活躍中！北九州から転勤なし 正社員,,掲載終了予定日： 2021/07/29
350,Garrett Japan合同会社 | 【大人気ポップコーンのお店】★有給消化100％★正社員登用あり,【店長候補】★完全週休2日制★年間休日123日★基本残業なし 契約社員,,掲載終了予定日： 2021/07/15
351,株式会社前平電機 | 年収700万円の実績あり／賞与年間3回支給実績あり（前年度）,【電気工事スタッフ】※完全週休2日も選択OK／未経験歓迎 正社員,,掲載終了予定日： 2021/07/12
352,株式会社VERUS | #未経験入社5ヶ月で月収200万円も可能！#残業ほぼなし,【不動産コンサルティング営業】飛び込みなし／平均年収750万円 正社員,420万円～1000万円,掲載終了予定日： 2021/07/15
353,株式会社和幸 | 【 月6万円で住める？！ 】話題のローコストでお洒落な家WOODBOX,【 提案プランナー 】未経験OK＊女性活躍中＊年収500万円以上可 正社員,400万円～600万円,掲載終了予定日： 2021/09/09
354,株式会社KDDIエボルバ | 【“au”を展開する東証一部上場のKDDIグループ】★札幌勤務,未経験OK【カスタマーサポート】★8～9月積極採用中★年休123日 正社員,300万円～400万円,掲載終了予定日： 2021/09/09
355,株式会社四国軽貨物 | 東京支店・登録無料・日払いOK・リース車両2ヶ月無料・車検無料,【軽貨物ドライバー】湾岸エリアの案件充実！70万円以上も可能！ 業務委託,360万円～1000万円,掲載終了予定日： 2021/08/26
356,荒沢工業株式会社 | ＜海がある限り仕事がなくならない高い安定性＞◆基本定時退社,海の仕事に未経験から挑戦！【作業スタッフ】★レア求人★ 正社員,,掲載終了予定日： 2021/08/05
357,株式会社fosbury | 【ベストベンチャー100選出企業】#コロナ禍でも連続増収増益中！,公的機関主催の超大型イベントも手がける【イベントプランナー】 正社員,300万円～500万円,掲載終了予定日： 2021/09/02
358,株式会社コンセプト | 競馬関連のプロモーションを担う制作会社 ◎WEB面接1回のみ！,DMや新聞広告の【制作スタッフ】★未経験者も月給30万スタート！ 正社員,360万円～450万円,掲載終了予定日： 2021/08/23
359,株式会社シティ・ハウジング | 【創業37年／地域密着型】週休2日制 ★ 基本定時退社(残業月10h),未経験OK！【ルームアドバイザー】★月給26万円~ ★100%反響型 正社員,400万円～500万円,掲載終了予定日： 2021/09/06
360,メットライフ生命保険株式会社 | 大阪第一エイジェンシーオフィス｜年間休日121日＆賞与年4回,やりがいと報酬の双方を突き詰められる【コンサルティング営業】 正社員,350万円～600万円,掲載終了予定日： 2021/08/02
361,株式会社新井組 | 主要4地方整備局で令和元年度 工事成績優秀企業認定(国土交通省),【土木施工管理】★完全週休2日／ノー残業デーあり 正社員,400万円～700万円,掲載終了予定日： 2021/08/02
362,株式会社ファーストライズ | 9年連続で業績UP／コロナ禍でも変わらずニーズがある安定企業★,メディア注目の企業で活躍【営業】※土日祝休み・未経験歓迎！ 正社員,360万円～700万円,掲載終了予定日： 2021/08/23
363,株式会社sizebook | 業界高水準の待遇！年収1000万円稼ぐ20代の先輩も★完全週休2日,WEB広告の【ライター】★未経験歓迎★月給25万円～★土日祝休 正社員,300万円～800万円,掲載終了予定日： 2021/08/23
364,株式会社Miss WH | ◆完全週休2日制（土日祝）◆未経験スタートでも月給28万円,女性向けプロモーションの【企画営業】 ◆業界未経験者歓迎 正社員,350万円～800万円,掲載終了予定日： 2021/09/02
365,株式会社渡辺組 | ＜ 安定基盤 ＞鹿児島県内トップクラスの実績を誇る総合建設企業,◆ 年間休日120日 ◆ 賞与5.0か月分【施工管理（建築／土木）】 正社員,500万円～550万円,掲載終了予定日： 2021/08/12
366,株式会社スカーラサポート | 《面接1回》《社員の9割が月給30万円以上実現》《普通免許でOK》,【レッカーサービススタッフ】◎年齢不問 ◎福岡限定募集 正社員,350万円～600万円,掲載終了予定日： 2021/09/02
367,株式会社みらい住宅開発紀行 | ◆各種祝金あり◆研修制度あり【大阪府緊急雇用対策に賛同】,不景気にも強い！【リフォームアドバイザー】平均月収50万円 正社員,300万円～850万円,掲載終了予定日： 2021/07/29
368,株式会社エム・シー・ピー | ★基本定時退社★正当評価で年収1000万円も可能★昇給年4回,★残業なし★最大18連休！メリハリつけて働ける【積算スタッフ】 正社員,450万円～850万円,掲載終了予定日： 2021/07/29
369,株式会社オラフズ | 実績多数★『ジャンクSPORTS』『モニタリング』etc.,【AD/進行管理】地上波・動画配信サービス・YouTube等ジャンル◎ 正社員,320万円～400万円,掲載終了予定日： 2021/07/29
370,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,道路や河川などの社会インフラに関わる【施工管理】★年休113日 正社員,350万円～500万円,掲載終了予定日： 2021/08/30
371,三栄工業株式会社 | 創業64年！60歳以上の社員も活躍中★長く働ける会社です！,沖縄の街づくりに協力してくれませんか？【 技術スタッフ 】 正社員,,掲載終了予定日： 2021/08/30
372,株式会社カークレド | 【東証一部上場企業「プロトコーポレーション」グループ】,【バイク鑑定師】バイク好きで免許さえあれば、経験一切不問！ 正社員,270万円～450万円,掲載終了予定日： 2021/08/09
373,株式会社マツミ | フランク&自由な社風で、誰よりも楽しく働きたいなら当社一択！,★未経験OK！【総合職(カーコンシェルジュ／査定アドバイザー)】 正社員,300万円～600万円,掲載終了予定日： 2021/08/30
374,東陽設備工業株式会社 | 設立57年/大手ゼネコン取引あり/年収700万円を目指せる！面接1回,＼”自分のペースで働く”を目指せる／【施工管理】原則土日祝休 正社員,300万円～600万円,掲載終了予定日： 2021/08/09
375,株式会社モトーレン青森 | ★社用車でBMW・MINIを用意！入社後に車を買う必要はありません,未経験歓迎【 営業スタッフ 】☆異業種からのスタートも多数！ 正社員,280万円～500万円,掲載終了予定日： 2021/08/30
376,光栄電設工業株式会社 | 国立市トップクラスの電気工事会社／年収800万円以上も目指せる,【電気工事設工管理】転勤・出張仕事ナシ！/長期休暇有/土日祝休 正社員,500万円～800万円,掲載終了予定日： 2021/07/26
377,有限会社館 | ★入社1年以内に【月収35万～40万円】も充分目指せる！,レジャーホテルの【運営スタッフ】★未経験OK ★休日数が選べる 正社員,250万円～400万円,掲載終了予定日： 2021/08/09
378,光栄電設工業株式会社 | 国立市トップクラスの電気工事会社／高年収・独立も目指せる環境,【電気工事スタッフ】★未経験大歓迎★出張・転勤なし★土日祝休 正社員,300万円～600万円,掲載終了予定日： 2021/07/26
379,臨海建設株式会社 | ＼公共案件100％／総合土木業として愛媛に貢献！＜面接1回のみ＞,初年度年収500万円以上目指せる！【土木施工管理】※転勤なし 正社員,390万円～520万円,掲載終了予定日： 2021/08/30
380,日本フォーミング株式会社 | ★普通自動車免許(AT限定可)をお持ちであれば未経験者でも歓迎！,【本社営業事務職】◆基本土日祝休み◆定時退社OK◎未経験歓迎 正社員,300万円～400万円,掲載終了予定日： 2021/08/30
381,株式会社太田興産 | JASDAQ上場（株）ジェーソンの持株会社◆銀座4丁目の自社ビル！,【設備管理】★自社が所有する不動産の設備管理～マネジメント★ 正社員,,掲載終了予定日： 2021/08/30
382,豊中機工株式会社 | ゴルフ場用芝刈り機などを取り扱う専門商社/土日祝休/年休125日,機械好きの方歓迎！芝刈り機の【メンテナンススタッフ】土日祝休 正社員,,掲載終了予定日： 2021/08/09
383,日本リアライズ株式会社 | ライフプランを提案する営業スタイルで年商数十億円を実現！,未経験OK！1つも、2つも頭抜けた営業に成長！【提案営業】 正社員,350万円～1500万円,掲載終了予定日： 2021/08/30
384,2plus8株式会社 | ★楽天・YahooショッピングなどECモールにも出店中 ★年休120日,自社アパレルブランド【ECサイト運営】◆土日祝休み ◆残業月10H 正社員,390万円～640万円,掲載終了予定日： 2021/08/09
385,トランスミック株式会社 | ◆有休消化率50％以上◆中途入社100％ ＼オフィスツールの提案／,人生逆転のチャンス到来!?【提案営業】「営業っ？」という方も！ 正社員,400万円～600万円,掲載終了予定日： 2021/08/09
386,株式会社三木森 | 電化製品や化粧品等の日本製品を大手ECサイトや海外で販売,【海外営業】リーダー候補・チームメンバー/新たな販路開拓を！ 正社員,350万円～600万円,掲載終了予定日： 2021/08/30
387,株式会社グローバルサポート | 【インセンティブ月平均15万円／50万円稼ぐ先輩も！】※副業OK！,未経験歓迎！インセンティブで高収入【提案営業】完全週休2日制 正社員,,掲載終了予定日： 2021/08/30
388,株式会社Ｃ－スピリット,【軽貨物配送ドライバー】◆経験者歓迎／年収100万円も可能！ 業務委託,,掲載終了予定日： 2021/08/30
389,株式会社HG・ロジック | |.. 大型免許　平均月収40万円 ..| | 夜間走行なし／未経験歓迎,【回収ドライバー】★長距離なし ★普通免許OK ★30代活躍中！ 正社員,400万円～450万円,掲載終了予定日： 2021/08/09
